Individual_ID,Age,Gender,Region,Location,Education_Level,Occupation,Employment_Type,Monthly_Income_NGN,Poverty_Status
430f78c7,10,Female,North West,Urban,Primary,Student,Not in Labor Force,0.0,1
ac9ddbd7,60,Female,North East,Urban,Primary,Trade/Services,Informal,126013.83,0
9c5f4810,3,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
7cc5e1a0,0,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
f7dcaa5a,14,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
70aef3b4,24,Male,North East,Urban,None,Informal,Informal,119085.15,0
67bb2937,31,Female,South West,Urban,Primary,Trade/Services,Informal,64905.65,1
d8d48301,0,Male,North East,Urban,None,None,Not in Labor Force,0.0,1
6b66ef15,63,Female,South West,Urban,Primary,Trade/Services,Informal,50468.15,1
50128f74,3,Female,North Central,Urban,None,None,Not in Labor Force,0.0,1
c1717b01,31,Male,North Central,Urban,None,Trade/Services,Informal,28878.04,1
b83379af,1,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
f3d944aa,37,Female,North Central,Rural,None,Agriculture,Informal,53819.66,1
09ca94c0,1,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
3d0640c5,22,Female,North Central,Rural,Tertiary,Manufacturing,Wage-employed,135281.14,0
c7c3bb6c,12,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
4033f46b,6,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
7e992556,8,Female,North East,Rural,Primary,Student,Not in Labor Force,0.0,1
d7c31d24,34,Female,North West,Rural,Primary,Informal,Informal,66012.6,1
90cea260,36,Male,North West,Rural,Tertiary,Professional,Wage-employed,269345.33,0
248fc8e7,14,Female,North East,Rural,Primary,Student,Not in Labor Force,0.0,1
39d02193,37,Male,South South,Urban,Secondary,Trade/Services,Self-employed,104692.37,0
ce17a5c3,55,Male,North East,Rural,None,Agriculture,Informal,112185.57,0
971c7f20,49,Male,North Central,Rural,Primary,Informal,Informal,33129.57,1
14155259,17,Male,South West,Urban,Secondary,Trade/Services,Self-employed,43967.7,1
31b3aef0,1,Male,South West,Rural,None,None,Not in Labor Force,0.0,1
bfd969e8,0,Male,South South,Urban,None,None,Not in Labor Force,0.0,1
83d66f00,60,Male,South South,Urban,Primary,Informal,Informal,70598.5,1
d36335cb,31,Female,South East,Rural,Secondary,Trade/Services,Self-employed,63324.91,1
4db989ea,59,Male,South South,Urban,Primary,Trade/Services,Informal,86937.22,1
f8f56944,2,Male,North West,Urban,None,None,Not in Labor Force,0.0,1
81495155,13,Male,South West,Urban,Secondary,Student,Not in Labor Force,0.0,1
06ef777f,37,Male,South South,Urban,None,Informal,Informal,46716.02,1
606975f1,29,Male,South West,Urban,None,Informal,Informal,104017.75,0
feb98a1f,28,Female,South South,Urban,Primary,Informal,Informal,45083.5,1
d7889da1,16,Female,North West,Rural,None,Informal,Informal,33182.52,1
c4686ba8,53,Female,North Central,Rural,None,Informal,Informal,86669.81,1
494e436b,0,Female,South South,Urban,None,None,Not in Labor Force,0.0,1
b5efa7b2,1,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
b3f22884,20,Male,South West,Urban,Secondary,Trade/Services,Self-employed,129589.73,0
c3f2b4ad,46,Male,North West,Urban,Secondary,Manufacturing,Self-employed,65366.14,1
5f128370,4,Female,South West,Urban,None,None,Not in Labor Force,0.0,1
dd24486c,7,Male,South South,Urban,None,Student,Not in Labor Force,0.0,1
1c150e34,42,Female,North East,Rural,Secondary,Informal,Self-employed,55765.5,1
145a590e,10,Male,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
b3d91490,1,Male,North West,Urban,None,None,Not in Labor Force,0.0,1
4717aeeb,47,Female,South South,Urban,Secondary,Manufacturing,Self-employed,106543.78,0
4096d867,30,Female,South West,Urban,None,Informal,Informal,40709.75,1
fe02f07e,53,Female,North West,Rural,None,Agriculture,Informal,50374.43,1
04eb70be,5,Female,North West,Urban,None,None,Not in Labor Force,0.0,1
c58cb0d1,57,Female,South East,Urban,Tertiary,Professional,Wage-employed,343985.18,0
e0b73d0f,14,Female,South East,Urban,Secondary,Student,Not in Labor Force,0.0,1
c59f809e,14,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
797251a0,27,Male,North East,Rural,None,Agriculture,Informal,34536.12,1
6c39c88d,16,Female,South East,Rural,Secondary,Manufacturing,Self-employed,145804.65,0
27707cfc,28,Female,North Central,Urban,Primary,Trade/Services,Informal,43816.71,1
927a790a,52,Male,South South,Urban,Tertiary,Trade/Services,Wage-employed,845261.19,0
5b378a4c,55,Female,North Central,Urban,Secondary,Informal,Self-employed,116880.75,0
b22756d4,11,Female,South West,Rural,Primary,Student,Not in Labor Force,0.0,1
09101b17,6,Male,North Central,Urban,Primary,Student,Not in Labor Force,0.0,1
d48f9cf3,1,Male,South South,Urban,None,None,Not in Labor Force,0.0,1
ed84c632,7,Male,North East,Rural,Primary,Student,Not in Labor Force,0.0,1
5ccc74c3,73,Female,North West,Rural,None,Retired/None,Not in Labor Force,0.0,1
e51a8918,6,Female,North East,Rural,None,Student,Not in Labor Force,0.0,1
5c50fb45,50,Male,South South,Urban,Primary,Informal,Informal,54404.65,1
69b9183d,55,Female,North Central,Rural,Tertiary,Trade/Services,Wage-employed,409879.82,0
6ed915e1,50,Male,North East,Rural,None,Agriculture,Informal,61124.48,1
0dfa1f16,58,Female,North Central,Rural,None,Informal,Informal,94460.37,1
7799bc51,18,Male,North West,Rural,None,Informal,Informal,18022.31,1
176f68e6,44,Male,North West,Rural,None,Agriculture,Informal,81642.96,1
3476aa74,7,Female,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
a6d124e2,34,Male,South West,Urban,Primary,Trade/Services,Informal,59185.61,1
f73cf00e,13,Male,South West,Rural,None,Student,Not in Labor Force,0.0,1
915e920e,7,Male,South East,Urban,None,Student,Not in Labor Force,0.0,1
250eef72,45,Male,South South,Rural,Primary,Informal,Informal,61239.68,1
cd5331be,7,Male,North Central,Rural,None,Student,Not in Labor Force,0.0,1
95ba0a54,21,Female,South West,Urban,Tertiary,Trade/Services,Wage-employed,379685.28,0
ea9b90e9,40,Female,North West,Urban,Primary,Informal,Informal,181311.11,0
58f67c2a,27,Female,North West,Rural,None,Informal,Informal,19608.18,1
731bcd3b,5,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
95260a26,7,Male,North Central,Rural,Primary,Student,Not in Labor Force,0.0,1
6ad0d0d8,19,Male,North West,Urban,Primary,Informal,Informal,212874.21,0
7f835a1c,11,Male,North East,Rural,None,Student,Not in Labor Force,0.0,1
eec2798c,77,Female,South West,Urban,Secondary,Retired/None,Not in Labor Force,0.0,1
3de30fb8,93,Female,North East,Urban,None,Retired/None,Not in Labor Force,0.0,1
a2d6b8f5,34,Male,South West,Rural,Tertiary,Professional,Wage-employed,453099.24,0
cdd419c4,13,Male,North Central,Rural,Secondary,Student,Not in Labor Force,0.0,1
222e6a1b,11,Female,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
badccf5f,64,Female,North West,Rural,None,Informal,Informal,65596.78,1
0da81437,10,Female,North West,Urban,None,Student,Not in Labor Force,0.0,1
1765d6ba,7,Male,North West,Urban,Primary,Student,Not in Labor Force,0.0,1
7f1df8d2,39,Female,South West,Urban,Secondary,Informal,Self-employed,56380.86,1
817b3caf,18,Male,South East,Urban,Secondary,Informal,Self-employed,48862.2,1
66bd546e,35,Female,North East,Rural,None,Agriculture,Informal,42763.15,1
1de3a2b8,32,Female,North East,Rural,Primary,Informal,Informal,87646.05,1
5363cf47,6,Female,South East,Urban,Primary,Student,Not in Labor Force,0.0,1
e08108dd,29,Male,North West,Rural,Primary,Informal,Informal,59658.89,1
4a202570,85,Male,North West,Urban,None,Retired/None,Not in Labor Force,0.0,1
a6375b16,5,Male,North Central,Rural,None,None,Not in Labor Force,0.0,1
1326eb7c,62,Male,South West,Rural,None,Informal,Informal,84706.2,1
b346cc27,38,Female,South West,Rural,Tertiary,Professional,Wage-employed,123251.98,0
86746a07,22,Female,South West,Urban,Secondary,Informal,Self-employed,136849.88,0
c235cb55,42,Male,North West,Urban,Secondary,Trade/Services,Self-employed,257102.17,0
fb314f03,35,Male,North Central,Urban,None,Informal,Informal,193132.56,0
a4ad7c3f,11,Male,North West,Rural,None,Student,Not in Labor Force,0.0,1
e055db43,5,Female,South East,Rural,None,None,Not in Labor Force,0.0,1
7f9a8b03,30,Female,South South,Urban,Tertiary,Professional,Wage-employed,188644.52,0
075ddaaf,49,Male,North East,Rural,None,Agriculture,Informal,48477.09,1
f8b34483,31,Male,North West,Rural,None,Agriculture,Informal,48801.77,1
19add533,23,Female,North East,Rural,Primary,Agriculture,Informal,41117.17,1
4bb2ce38,49,Female,North West,Urban,Secondary,Informal,Self-employed,229730.46,0
8d254bda,43,Male,North East,Rural,Primary,Agriculture,Informal,335334.97,0
60759c9c,53,Female,North Central,Urban,None,Informal,Informal,41430.44,1
24903123,32,Female,South South,Rural,Secondary,Informal,Self-employed,127371.19,0
49f508f1,26,Female,North East,Urban,Secondary,Informal,Self-employed,159104.98,0
e619ec83,33,Female,North West,Rural,Secondary,Unemployed,Self-employed,119394.71,0
bd561715,62,Male,North West,Rural,Primary,Agriculture,Informal,133225.48,0
e4bcd582,5,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
a8513012,10,Male,North West,Rural,None,Student,Not in Labor Force,0.0,1
f4b0e599,7,Male,South East,Urban,Primary,Student,Not in Labor Force,0.0,1
7cb7903f,63,Male,North West,Rural,Secondary,Informal,Self-employed,123497.45,0
ec42ea05,3,Male,South South,Urban,None,None,Not in Labor Force,0.0,1
cb603ad7,29,Male,North Central,Urban,Tertiary,Professional,Wage-employed,111103.91,0
2ce55e16,15,Female,North Central,Rural,None,Informal,Informal,25283.45,1
ce705145,1,Female,North East,Rural,None,None,Not in Labor Force,0.0,1
0fd2bd61,22,Female,South West,Rural,Primary,Informal,Informal,31565.99,1
36345977,5,Male,North Central,Rural,None,None,Not in Labor Force,0.0,1
a867ce7f,8,Male,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
cbc10c5d,16,Female,North East,Rural,None,Informal,Informal,38210.3,1
8c3bb72c,2,Male,South South,Rural,None,None,Not in Labor Force,0.0,1
01227c25,8,Female,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
05fb6324,23,Male,North Central,Rural,None,Agriculture,Informal,55063.97,1
244b5be4,27,Female,North East,Rural,Secondary,Unemployed,Self-employed,86783.8,1
350433fd,5,Male,North West,Urban,None,None,Not in Labor Force,0.0,1
e13c9ef5,44,Female,North West,Rural,Primary,Informal,Informal,20049.54,1
69e7a09d,14,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
e29c392a,2,Female,South West,Urban,None,None,Not in Labor Force,0.0,1
3367208a,29,Female,North Central,Urban,Secondary,Trade/Services,Self-employed,50755.67,1
de352021,64,Male,South East,Rural,Tertiary,Professional,Wage-employed,83167.42,1
ae23032d,21,Female,South West,Urban,Secondary,Informal,Self-employed,52448.76,1
93e81bfb,25,Male,North West,Rural,Primary,Agriculture,Informal,108520.95,0
99651b16,72,Female,South West,Rural,Secondary,Retired/None,Not in Labor Force,0.0,1
ac169f44,52,Male,South West,Urban,Tertiary,Professional,Wage-employed,340349.42,0
64b72aba,7,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
0288e6ce,16,Female,South West,Urban,Secondary,Informal,Self-employed,75235.44,1
e93788f5,2,Male,South West,Urban,None,None,Not in Labor Force,0.0,1
3bfa6b19,62,Male,North West,Rural,None,Agriculture,Informal,18948.02,1
42036812,6,Male,South West,Rural,Primary,Student,Not in Labor Force,0.0,1
67eb7fd1,9,Female,North East,Rural,Primary,Student,Not in Labor Force,0.0,1
6bdf2c20,76,Male,South West,Rural,Tertiary,Retired/None,Not in Labor Force,0.0,1
566b462f,31,Female,North West,Rural,Primary,Agriculture,Informal,32607.76,1
e2f8eb30,21,Female,South East,Rural,Secondary,Manufacturing,Self-employed,142103.31,0
d788215d,5,Female,North Central,Rural,None,None,Not in Labor Force,0.0,1
c921b080,7,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
447a7380,6,Male,South East,Urban,Primary,Student,Not in Labor Force,0.0,1
1a21fbe2,3,Female,South South,Urban,None,None,Not in Labor Force,0.0,1
d361af81,49,Female,South West,Urban,None,Informal,Informal,107516.37,0
d30e4df5,61,Female,North West,Rural,None,Informal,Informal,51458.05,1
704b3809,50,Female,South South,Urban,Secondary,Informal,Self-employed,113524.82,0
42025ecd,14,Female,South West,Urban,Tertiary,Student,Not in Labor Force,0.0,1
8ccb100f,39,Male,South West,Rural,Secondary,Informal,Self-employed,34106.69,1
65f787cf,55,Female,South South,Urban,Secondary,Manufacturing,Self-employed,83647.45,1
5f5be3e3,27,Female,North West,Urban,Secondary,Informal,Self-employed,185971.35,0
14bfd6c1,32,Female,North West,Rural,None,Agriculture,Informal,39939.1,1
387f5bca,4,Female,North Central,Rural,None,None,Not in Labor Force,0.0,1
12004a92,0,Male,South East,Rural,None,None,Not in Labor Force,0.0,1
cd7d442d,3,Female,North Central,Rural,None,None,Not in Labor Force,0.0,1
45bd10a7,64,Female,South West,Urban,Secondary,Informal,Self-employed,352951.47,0
78ac1d88,7,Male,North Central,Rural,None,Student,Not in Labor Force,0.0,1
eda271b8,3,Female,South West,Urban,None,None,Not in Labor Force,0.0,1
ee289fd5,4,Male,South East,Urban,None,None,Not in Labor Force,0.0,1
c54f16d8,10,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
8298f960,35,Male,South West,Urban,Primary,Informal,Informal,166598.05,0
fd16042f,41,Female,South East,Urban,Tertiary,Professional,Wage-employed,304898.85,0
b0e4101e,33,Male,North Central,Urban,None,Informal,Informal,68925.42,1
a242ab9b,6,Male,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
15e55e85,64,Male,North West,Rural,Primary,Informal,Informal,227258.89,0
41d397f7,57,Male,South East,Urban,Primary,Informal,Informal,134365.23,0
ff84e7dd,2,Female,North East,Rural,None,None,Not in Labor Force,0.0,1
dd6919a7,54,Male,North East,Rural,None,Agriculture,Informal,62452.72,1
bba7e4b8,3,Female,North East,Urban,None,None,Not in Labor Force,0.0,1
5720da66,56,Female,North Central,Rural,Secondary,Manufacturing,Self-employed,110351.01,0
261e4e1e,62,Female,South West,Urban,Secondary,Manufacturing,Self-employed,145704.43,0
9a6ea8b2,4,Female,South East,Rural,None,None,Not in Labor Force,0.0,1
d86d713e,3,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
688ce0ce,55,Male,South West,Urban,None,Informal,Informal,80002.71,1
833cd64b,22,Female,South West,Urban,None,Informal,Informal,42506.55,1
